cbsa_2020_id,cbsa_income_2022
34380,52638
43420,58421
24700,71566
13740,72377
15380,67638
27100,62581
41700,70910
34980,79020
32580,49371
15500,60866
32620,40131
43380,73502
29380,53501
37580,58246
43700,48768
30420,68128
34700,67427
45300,67197
48100,44665
38340,69744
11900,48750
25260,68540
43900,61955
21540,53852
48140,71675
21420,64165
42020,90158
35580,67038
47180,58173
10780,55650
12900,48875
45820,65665
11980,59778
12300,62118
24740,38394
43320,50335
48620,66643
27220,102435
29460,60901
39300,81136
20540,53150
27300,62004
42940,60103
20500,76040
15660,57555
31260,57055
42220,99266
45060,70096
31740,61270
49700,70176
26900,73571
27580,18363
31680,50260
33140,66854
36780,70041
41980,26853
42300,58408
38240,77981
44580,62828
18060,53687
27940,95711
29620,68270
20220,73495
30100,74152
15700,57490
17540,61080
22420,58594
22900,53224
30140,72532
37740,55242
39060,63574
38380,50721
16740,76177
22500,52401
23980,47855
38920,62267
21780,64084
33340,72937
20780,98887
24980,45745
30280,65325
35380,62748
39540,72658
49340,86708
45500,53628
49660,54650
38260,49779
19180,52787
26660,47193
44620,71301
48580,75172
15620,58374
42660,107206
16420,50935
42140,70522
18620,56261
23940,88151
32260,70828
39340,91190
17260,36075
37780,57329
20420,81936
20580,48497
30340,64500
39420,49345
11020,59386
31380,48904
16300,75477
22540,70368
44260,45358
42340,70705
49780,56810
22840,47920
15180,47435
40380,71349
42380,60650
12780,59426
14580,83434
39980,54854
28700,53644
32860,69721
41860,129315
34460,51889
27620,70195
12740,77278
13380,77581
13940,69433
24580,74208
14660,64975
42200,92332
35700,51885
36580,65778
20100,69278
20660,81667
29540,81458
33460,94673
35440,57794
20180,56982
27340,59976
31820,66412
39260,74969
23820,84262
45940,92697
45180,52457
21700,57881
36220,70566
37340,71308
11540,79958
37770,56042
47020,66105
31930,59053
22580,50512
41400,55473
18420,47716
24940,47553
25540,89371
34940,82011
31460,73543
18580,64005
20700,80656
34900,105809
43580,69065
48940,64210
17620,20569
39500,61924
15940,62859
49820,35061
45000,59515
26340,52857
27500,70630
28060,68025
36500,88895
48020,77018
20300,59041
11940,57982
19260,46853
44140,70547
45540,70105
34860,51153
28180,88869
44340,53675
12380,66972
33580,57432
47700,70945
13720,46680
19940,64588
24460,54634
34180,66387
17060,58048
27860,52709
28660,63394
35300,81544
47260,77082
29500,45268
46780,64841
23620,66374
28020,67905
16700,77460
14460,107117
19620,57250
36020,82850
30580,57131
42680,67543
12140,68110
25100,55682
35840,74469
43740,57357
35420,61953
40580,53553
48500,37412
15820,56136
21180,51186
43340,53053
35820,63119
27540,67610
43760,70432
19140,60017
33500,78112
49100,66162
14260,78138
17340,56259
34300,55000
38220,47559
38460,67097
11260,93016
18380,47463
21300,61358
30940,45127
36840,68217
36380,50476
40740,49673
42420,59842
14140,47294
16260,63005
47660,62503
30660,62547
25420,76189
45700,52561
45780,61620
19540,61731
25700,59665
21640,39599
40980,56579
44540,54864
45860,89394
10900,78597
13660,54132
25200,81271
31080,89105
46660,51216
21740,78164
23700,44029
15060,64300
23780,68481
24300,68077
40660,57868
10140,59105
21380,56068
21580,52031
41940,151713
18880,74279
21900,59974
46140,65784
32700,71250
25860,57943
26260,44423
34740,61347
36260,91022
48780,86139
25980,55427
34060,60670
39940,56594
26420,78061
31540,82996
43060,58270
45620,55958
43780,62448
34820,63296
40080,57096
19000,51758
41820,60941
44740,62662
11620,56968
33420,65242
37500,54879
16380,73278
17820,82334
30220,53283
31700,95112
39220,53734
34350,42194
45740,52901
11740,62254
12540,63883
15780,50152
22140,50734
33540,66840
19860,78608
46620,55000
16620,54473
49500,19166
44700,82837
17700,51513
18700,72882
25220,55274
39780,59029
48300,75185
11380,86458
16860,65387
33060,46186
11500,54339
14100,61559
19500,59622
41420,72154
27980,95379
30380,58012
32660,52948
37420,54852
43500,44895
21840,52210
14380,50034
49020,79416
22300,67006
36620,55155
48700,63437
16980,85087
23420,67756
18020,76912
12100,73113
16140,68041
23500,47011
16500,67247
10860,46922
25460,52078
48260,54142
10760,53054
21500,59396
33260,89345
30300,64488
36340,59278
41620,90277
17980,55720
33180,33658
13780,61271
15580,56297
24500,61351
23660,50263
29860,48389
18500,62506
31620,47441
42540,62318
44060,69752
33620,51480
38620,53746
49460,68847
11640,22368
44980,55952
24420,56068
35860,66892
26780,73296
35940,64144
24780,54915
31500,57801
35140,56706
11420,68837
26500,61300
35900,49119
13340,69125
10980,49133
18300,57563
35060,41310
12940,67979
15860,56165
24660,59567
27740,54217
22800,58590
42100,104409
27140,60085
33380,34263
19980,67997
24330,63962
37660,56143
41180,75316
14220,41803
